,segmento,retorno_ult_segmento,ranking_segmento
0,quimicos,15.45,1
1,varejo_especializado,11.76,2
2,varejo,9.72,3
3,tech,8.87,4
4,aereas,8.69,5
5,material_construcao,8.22,6
6,agro,7.68,7
7,celulose,5.13,8
8,infra_logistica,4.48,9
9,energia_renovavel,3.26,10
10,industriais,2.76,11
11,construtoras,2.43,12
12,small11,1.24,13
13,vestuario,0.57,14
14,bancos,0.3,15
15,energia,0.04,16
16,telecom,-0.31,17
17,incorporadora,-0.65,18
18,oleo_gas,-1.03,19
19,comidas_bedidas_farmacia,-1.08,20
20,servicos_financeiro,-1.52,21
21,saude,-1.65,22
22,bova11,-3.01,23
23,saneamento,-3.71,24
24,seguro,-4.59,25
25,pecas_auto,-4.66,26
26,educacao,-5.38,27
27,locadoras,-6.22,28
28,mineracao_metais,-9.98,29
